
 num     #instances         #bytes  class name
 196:            39           1872  sun.util.locale.LocaleObjectCache$CacheEntry
 197:            46           1840  java.io.ObjectOutputStream$BlockDataOutputStream
 198:            75           1800  sun.reflect.generics.tree.SimpleClassTypeSignature
 199:           112           1792  [Ljava.security.Principal;
 200:           112           1792  java.security.ProtectionDomain$Key
 201:            53           1696  java.security.spec.EllipticCurve
 202:             4           1672  [[B
 203:            51           1632  com.mongodb.internal.connection.ConcurrentPool
 204:            12           1632  io.netty.buffer.PoolArena$DirectArena
 205:            12           1632  io.netty.buffer.PoolArena$HeapArena
 206:             4           1632  io.vertx.core.impl.VertxThread
 207:            51           1632  java.io.DataInputStream
 208:            51           1632  java.util.concurrent.Semaphore$FairSync
 209:            68           1632  java.util.jar.Attributes$Name
 210:            67           1608  java.lang.Class$AnnotationData
 211:            49           1568  java.util.AbstractList$Itr
 212:            56           1552  [Ljava.io.ObjectStreamField;
 213:            64           1536  java.io.ObjectStreamClass$ClassDataSlot
 214:            47           1504  sun.rmi.transport.StreamRemoteCall
 215:            47           1504  sun.rmi.transport.Transport$1
 216:            91           1456  sun.rmi.transport.Transport$$Lambda$54/1508417226
 217:            45           1440  java.io.ObjectInputStream$HandleTable
 218:            58           1392  [Ljava.io.ObjectStreamClass$ClassDataSlot;
 219:            75           1384  [Lsun.reflect.generics.tree.TypeArgument;
 220:             1           1376  [Lsun.misc.FDBigInteger;
 221:            42           1344  javax.management.AttributeList
 222:            83           1328  sun.reflect.DelegatingMethodAccessorImpl
 223:             9           1296  io.netty.channel.nio.NioEventLoop
 224:            54           1296  java.security.spec.ECPoint
 225:            55           1288  [Ljava.lang.reflect.Type;
 226:            23           1288  sun.nio.cs.UTF_8$Encoder
 227:            39           1280  [Ljava.math.BigInteger;
 228:            80           1280  java.lang.ref.ReferenceQueue$Lock
 229:            52           1248  com.mongodb.internal.connection.ConcurrentLinkedDeque
 230:            31           1240  java.security.AccessControlContext
 231:            51           1224  java.util.regex.Pattern$Slice
 232:            50           1200  com.mongodb.internal.connection.PowerOfTwoBufferPool$1
 233:            30           1200  java.math.BigDecimal
 234:            75           1200  sun.reflect.generics.tree.ClassTypeSignature
 235:            49           1176  java.rmi.server.ObjID
 236:            48           1152  sun.rmi.transport.ObjectEndpoint
 237:             2           1144  [Lorg.bson.BsonType;
 238:             4           1120  [Ljava.lang.Integer;
 239:            14           1120  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 240:            46           1104  [Lcom.fasterxml.jackson.databind.JavaType;
 241:            46           1104  java.io.ObjectOutputStream$ReplaceTable
 242:            45           1080  java.io.ObjectInputStream$PeekInputStream
 243:            22           1056  com.fasterxml.jackson.databind.type.SimpleType
 244:             1           1040  [Ljava.lang.Byte;
 245:             1           1040  [Ljava.lang.Long;
 246:             1           1040  [Ljava.lang.Short;
 247:            40           1024  [Ljavax.management.MBeanOperationInfo;
 248:            32           1024  java.lang.ThreadLocal$ThreadLocalMap$Entry
 249:            15            960  java.nio.DirectByteBuffer
 250:            30            960  java.security.Provider$EngineDescription
 251:            60            960  java.util.concurrent.Semaphore
 252:            38            912  io.netty.util.internal.logging.JdkLogger
 253:            57            912  java.util.HashMap$Values
 254:            28            896  io.netty.channel.ChannelOption
 255:             8            896  java.net.SocksSocketImpl
 256:            12            864  com.fasterxml.jackson.databind.introspect.AnnotatedClass
 257:            27            864  com.fasterxml.jackson.databind.type.TypeBindings
 258:            27            864  java.lang.invoke.DirectMethodHandle$Special
 259:            15            840  javax.management.openmbean.ArrayType
 260:            15            840  javax.management.openmbean.CompositeType
 261:            13            832  java.util.jar.JarFile
 262:            20            800  com.sun.jmx.mbeanserver.MXBeanSupport
 263:            20            800  javax.management.MBeanOperationInfo
 264:            11            792  java.util.regex.Pattern
 265:            11            784  [Ljava.lang.reflect.Method;
 266:            14            784  com.fasterxml.jackson.databind.type.MapType
 267:            24            768  com.fasterxml.jackson.databind.DeserializationFeature
 268:            16            768  com.fasterxml.jackson.databind.util.ClassUtil$ClassMetadata
 269:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping
 270:            16            768  sun.misc.URLClassPath$JarLoader
 271:            24            768  sun.security.x509.OIDMap$OIDInfo
 272:            19            760  sun.util.locale.BaseLocale$Key
 273:            34            744  [Lsun.reflect.generics.tree.FieldTypeSignature;
 274:            23            736  com.fasterxml.jackson.databind.SerializationFeature
 275:            46            736  com.fasterxml.jackson.databind.introspect.AnnotationMap
 276:            23            736  sun.management.MappedMXBeanType$BasicMXBeanType
 277:            46            736  sun.rmi.server.MarshalOutputStream$1
 278:            30            720  java.io.ExpiringCache$Entry
 279:            45            720  java.io.ObjectInputStream$ValidationList
 280:            15            720  java.lang.management.PlatformComponent
 281:             5            720  java.text.DecimalFormat
 282:            18            720  sun.management.DiagnosticCommandArgumentInfo
 283:            43            688  java.util.Collections$UnmodifiableSet
 284:            21            672  com.fasterxml.jackson.databind.MapperFeature
 285:            21            672  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference
 286:            21            672  java.util.LinkedList
 287:            12            672  java.util.ResourceBundle$CacheKey
 288:             7            672  java.util.jar.JarFile$JarFileEntry
 289:            14            672  javax.management.Notification
 290:            28            672  javax.management.openmbean.TabularDataSupport
 291:            12            672  sun.security.ssl.CipherSuite$BulkCipher
 292:             9            648  sun.nio.ch.EPollArrayWrapper
 293:             9            648  sun.nio.ch.EPollSelectorImpl
 294:            16            640  java.io.ObjectStreamClass$FieldReflector
 295:            40            640  java.util.TreeMap$EntrySet
 296:            20            640  java.util.regex.Pattern$Curly
 297:             3            624  [Ljava.lang.invoke.LambdaForm;
 298:            13            624  com.fasterxml.jackson.core.JsonToken
 299:            26            624  java.security.spec.ECFieldF2m
 300:            39            624  java.util.jar.Attributes
 301:            13            624  sun.management.DiagnosticCommandInfo
 302:            19            608  java.util.Locale
 303:            19            608  javax.management.MBeanParameterInfo
 304:            19            608  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 305:            19            608  sun.util.locale.BaseLocale
 306:            12            576  java.util.ResourceBundle$BundleReference
 307:            12            576  java.util.WeakHashMap$KeyIterator
 308:            24            576  sun.management.MemoryUsageCompositeData
 309:            24            576  sun.reflect.generics.factory.CoreReflectionFactory
 310:            24            576  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 311:            24            560  [Ljava.lang.reflect.TypeVariable;
 312:            10            560  com.fasterxml.jackson.databind.type.CollectionType
 313:            14            560  java.util.IdentityHashMap
 314:             2            560  java.util.concurrent.ConcurrentHashMap$CounterCell
 315:            14            560  javax.management.openmbean.SimpleType
 316:            10            560  sun.invoke.util.Wrapper
 317:             4            552  [D
 318:            23            552  com.sun.jmx.mbeanserver.NamedObject
 319:            23            552  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig
 320:            23            552  java.util.concurrent.atomic.AtomicLong
 321:            17            544  java.net.Inet6Address
 322:            17            544  java.net.Inet6Address$Inet6AddressHolder
 323:            17            544  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 324:            17            544  sun.reflect.generics.repository.ClassRepository
 325:             1            528  [Ljava.lang.Character;
 326:             1            528  [Ljava.util.TimerTask;
 327:            10            520  [Ljava.util.regex.Pattern$Node;
 328:            13            520  com.sun.jmx.mbeanserver.PerInterface
 329:            13            520  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 330:             6            512  [Ljava.lang.Thread;
 331:            25            512  [Lsun.reflect.generics.tree.FormalTypeParameter;
 332:            16            512  io.netty.util.concurrent.DefaultPromise
 333:            16            512  java.lang.invoke.BoundMethodHandle$Species_L
 334:            16            512  sun.security.ssl.CipherSuite$KeyExchange
 335:            21            504  org.bson.BsonType
 336:            20            480  [Ljavax.management.MBeanParameterInfo;
 337:            12            480  java.lang.reflect.InvocationTargetException
 338:            15            480  java.util.zip.ZipCoder
 339:            29            464  java.util.concurrent.atomic.AtomicBoolean
 340:             6            456  [Lsun.invoke.util.Wrapper;
 341:            19            456  java.util.Locale$LocaleKey
 342:            19            456  sun.reflect.generics.tree.FormalTypeParameter
 343:             4            448  java.util.GregorianCalendar
 344:             8            448  javax.management.openmbean.OpenMBeanParameterInfoSupport
 345:            14            448  sun.security.ssl.SignatureAndHashAlgorithm
 346:             8            448  sun.util.calendar.ZoneInfo
 347:             1            432  [[[C
 348:             9            432  com.fasterxml.jackson.databind.introspect.BasicBeanDescription
 349:            27            432  java.security.spec.ECFieldFp
 350:            18            432  java.text.DateFormat$Field
 351:             9            432  java.util.concurrent.ThreadPoolExecutor$Worker
 352:             9            432  java.util.zip.Inflater
 353:            18            432  sun.reflect.generics.scope.ClassScope
 354:             6            416  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 355:            13            416  com.fasterxml.jackson.databind.introspect.AnnotatedConstructor
 356:            13            416  java.lang.invoke.SimpleMethodHandle
 357:            13            416  sun.management.DiagnosticCommandImpl$Wrapper
 358:             3            408  io.netty.util.internal.InternalThreadLocalMap
 359:            17            408  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 360:            17            408  sun.reflect.generics.tree.ClassSignature
 361:            10            400  java.lang.invoke.DirectMethodHandle$Accessor
 362:            10            400  sun.nio.cs.UTF_8$Decoder
 363:             1            384  io.netty.util.concurrent.FastThreadLocalThread
 364:             1            384  java.lang.ref.Finalizer$FinalizerThread
 365:            24            384  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry
 366:            12            384  java.util.ResourceBundle$LoaderReference
 367:             1            384  java.util.TimerThread
 368:             1            384  java.util.logging.LogManager$Cleaner
 369:            16            384  sun.nio.ch.OptionKey
 370:            16            384  sun.nio.ch.SocketOptionRegistry$RegistryKey
 371:             4            384  sun.util.calendar.Gregorian$Date
 372:            17            376  [Lsun.reflect.generics.tree.ClassTypeSignature;
 373:             1            376  java.lang.ref.Reference$ReferenceHandler
 374:            17            368  [Ljavax.management.MBeanNotificationInfo;
 375:             5            360  io.vertx.core.impl.EventLoopContext
 376:            15            360  java.lang.invoke.Invokers
 377:            15            360  java.util.BitSet
 378:            15            360  java.util.regex.Pattern$Ctype
 379:            15            360  javax.management.StandardMBean
 380:            15            360  sun.reflect.annotation.AnnotationInvocationHandler
 381:            14            352  [Lcom.fasterxml.jackson.databind.introspect.AnnotationMap;
 382:            11            352  com.fasterxml.jackson.core.JsonParser$Feature
 383:            22            352  io.vertx.core.logging.JULLogDelegate
 384:            22            352  io.vertx.core.logging.Logger
 385:             7            336  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping
 386:            14            336  com.sun.jmx.remote.internal.ArrayNotificationBuffer$NamedNotification
 387:            14            336  com.sun.jmx.remote.util.ClassLogger
 388:            14            336  java.lang.RuntimePermission
 389:            14            336  java.lang.ThreadLocal$ThreadLocalMap
 390:            14            336  java.lang.invoke.LambdaFormEditor$Transform$Kind
 391:             6            336  java.nio.DirectLongBufferU
 392:            14            336  java.util.regex.Pattern$GroupTail
 393:            14            336  org.bson.codecs.configuration.ChildCodecRegistry
 394:             6            336  sun.management.MemoryPoolImpl
 395:            16            328  [Ljava.lang.management.PlatformComponent;
 396:            10            320  com.fasterxml.jackson.core.JsonGenerator$Feature
 397:            10            320  io.vertx.core.impl.OrderedExecutorFactory$OrderedExecutor
 398:             5            320  io.vertx.core.net.impl.SSLHelper
 399:            10            320  java.io.File
 400:            10            320  java.lang.OutOfMemoryError
 401:             5            320  java.text.DecimalFormatSymbols
 402:            10            320  java.util.concurrent.CountDownLatch$Sync
 403:            10            320  java.util.regex.Pattern$Branch
 404:            20            320  sun.reflect.BootstrapConstructorAccessorImpl
 405:            20            320  sun.reflect.generics.tree.TypeVariableSignature
 406:             8            320  sun.rmi.transport.tcp.TCPEndpoint
 407:             8            320  sun.security.ssl.SignatureAndHashAlgorithm$HashAlgorithm
 408:             3            312  io.netty.channel.socket.nio.NioServerSocketChannel
 409:            13            312  java.util.regex.Pattern$GroupHead
 410:            13            296  [Lsun.management.DiagnosticCommandArgumentInfo;
 411:             2            288  [Lcom.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket;
 412:             9            288  com.mongodb.WriteConcern
 413:             3            288  com.mongodb.connection.ServerDescription
 414:             9            288  io.netty.channel.nio.SelectedSelectionKeySet
 415:             9            288  java.security.Permissions
 416:            12            288  java.util.Collections$SingletonList
 417:             9            288  java.util.concurrent.Semaphore$NonfairSync
 418:             4            288  java.util.concurrent.ThreadPoolExecutor
 419:             9            288  java.util.logging.Level
 420:             9            288  jdk.internal.org.objectweb.asm.Type
 421:             9            288  sun.nio.ch.AllocatedNativeObject
 422:             3            288  sun.nio.ch.ServerSocketChannelImpl
 423:             9            288  sun.security.jca.ProviderConfig
 424:             6            288  sun.util.locale.provider.LocaleResources$ResourceReference
 425:             5            280  java.lang.Class$ReflectionData
 426:             7            280  sun.misc.Cleaner
 427:            17            272  java.util.LinkedHashMap$LinkedEntrySet
 428:            11            264  java.net.StandardSocketOptions$StdSocketOption
 429:             8            256  com.fasterxml.jackson.databind.util.ClassUtil$Ctor
 430:             2            256  io.vertx.core.http.HttpServerOptions
 431:            16            256  java.lang.ThreadLocal
 432:             4            256  java.security.SecureRandom
 433:             4            256  java.text.DateFormatSymbols
 434:             4            256  java.text.SimpleDateFormat
 435:             8            256  java.util.Collections$UnmodifiableMap
 436:            16            256  java.util.concurrent.atomic.AtomicReference
 437:             8            256  javax.management.MBeanNotificationInfo
 438:             8            256  sun.misc.ProxyGenerator$PrimitiveTypeInfo
 439:             2            256  sun.nio.ch.DatagramChannelImpl
 440:             8            256  sun.reflect.generics.tree.MethodTypeSignature
 441:             8            248  [Ljava.lang.invoke.LambdaForm$BasicType;
 442:             6            240  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData;
 443:            14            240  [Ljavax.management.MBeanConstructorInfo;
 444:             3            240  com.fasterxml.jackson.databind.deser.std.StdValueInstantiator
 445:            10            240  java.security.CryptoPrimitive
 446:             6            240  java.util.EnumMap
 447:             6            240  java.util.HashMap$KeyIterator
 448:             5            240  java.util.Properties
 449:            10            240  java.util.regex.Pattern$Start
 450:             6            240  sun.management.MemoryPoolImpl$CollectionSensor
 451:             6            240  sun.management.MemoryPoolImpl$PoolSensor
 452:             6            240  sun.reflect.generics.repository.MethodRepository
 453:            10            240  sun.rmi.runtime.Log$LoggerLog
 454:            11            232  [Ljava.lang.StackTraceElement;
 455:            10            232  [Ljava.security.ProtectionDomain;
 456:             2            224  [Lcom.fasterxml.jackson.databind.DeserializationFeature;
 457:             2            224  [Lcom.fasterxml.jackson.databind.SerializationFeature;
 458:             7            224  java.io.FileInputStream
 459:             7            224  java.lang.StackTraceElement
 460:             7            224  java.lang.UnsupportedOperationException
